Anuncio;Titulo do anuncio (max. 60);Variacao: Cor;Variacao: Tamanho;Tam. legging;Tam. top;SKU;Preco (R$);Estoque ML;Estoque no site hoje;Condicao;Codigo universal (EAN);Marca;Modelo;Genero;Tipo de roupa;Composicao;Tipo de bojo;E esportivo;Tipo de anuncio;Forma de envio;Garantia;Peso da embalagem (g);Altura emb. (cm);Largura emb. (cm);Comprimento emb. (cm);Fotos (URLs separadas por virgula);Descricao
#1;Conjunto Fitness Legging Cintura Alta + Top Matcha;Verde;P/P;P;P;CTS-MATCHA-LP-TP;189;13;13;Novo;Nao tenho codigo universal;Contt.s;Conjunto Shape Matcha;Feminino;Conjunto;Poliamida com elastano;Bojo fixo;Sim;Classico;Mercado Envios;Garantia do vendedor: 30 dias;350;5;22;30;https://cdn.shopify.com/s/files/1/0986/2430/7486/files/1_79b30e4a-aeb6-41b7-8fed-2fdb2171fd34.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/3_1732dfaa-7367-4ad9-aa42-523be0187a90.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2_55ecdae7-11f5-444e-8209-e77864ad95a4.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2CE0018D-4C58-4BD1-AF17-2ACB97C88580.png;"O Conjunto Matcha foi desenvolvido para valorizar suas curvas com conforto, seguranca e muito estilo. Confeccionado em poliamida de alta qualidade, possui toque macio, excelente elasticidade e ZERO TRANSPARENCIA, proporcionando mais seguranca durante os treinos.

O top possui bojo, oferecendo melhor sustentacao e valorizando o busto. A legging conta com modelagem estrategica que valoriza e realca o bumbum, desenhando as curvas e proporcionando um efeito ainda mais bonito ao corpo.

Um conjunto perfeito para quem busca unir performance, conforto e uma modelagem que valoriza a silhueta.

COMO ESCOLHER O TAMANHO
Cada conjunto sai com a legging e o top no tamanho que voce escolher, e eles podem ser diferentes. Na opcao de tamanho, o primeiro valor e o da LEGGING e o segundo e o do TOP. Exemplo: M/G = legging M com top G. Se voce usa o mesmo tamanho nas duas pecas, escolha P/P, M/M ou G/G. A tabela de medidas esta nas fotos do anuncio."
#1;Conjunto Fitness Legging Cintura Alta + Top Matcha;Verde;M/P;M;P;CTS-MATCHA-LM-TP;189;13;13;Novo;Nao tenho codigo universal;Contt.s;Conjunto Shape Matcha;Feminino;Conjunto;Poliamida com elastano;Bojo fixo;Sim;Classico;Mercado Envios;Garantia do vendedor: 30 dias;350;5;22;30;https://cdn.shopify.com/s/files/1/0986/2430/7486/files/1_79b30e4a-aeb6-41b7-8fed-2fdb2171fd34.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/3_1732dfaa-7367-4ad9-aa42-523be0187a90.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2_55ecdae7-11f5-444e-8209-e77864ad95a4.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2CE0018D-4C58-4BD1-AF17-2ACB97C88580.png;"O Conjunto Matcha foi desenvolvido para valorizar suas curvas com conforto, seguranca e muito estilo. Confeccionado em poliamida de alta qualidade, possui toque macio, excelente elasticidade e ZERO TRANSPARENCIA, proporcionando mais seguranca durante os treinos.

O top possui bojo, oferecendo melhor sustentacao e valorizando o busto. A legging conta com modelagem estrategica que valoriza e realca o bumbum, desenhando as curvas e proporcionando um efeito ainda mais bonito ao corpo.

Um conjunto perfeito para quem busca unir performance, conforto e uma modelagem que valoriza a silhueta.

COMO ESCOLHER O TAMANHO
Cada conjunto sai com a legging e o top no tamanho que voce escolher, e eles podem ser diferentes. Na opcao de tamanho, o primeiro valor e o da LEGGING e o segundo e o do TOP. Exemplo: M/G = legging M com top G. Se voce usa o mesmo tamanho nas duas pecas, escolha P/P, M/M ou G/G. A tabela de medidas esta nas fotos do anuncio."
#1;Conjunto Fitness Legging Cintura Alta + Top Matcha;Verde;G/P;G;P;CTS-MATCHA-LG-TP;189;13;13;Novo;Nao tenho codigo universal;Contt.s;Conjunto Shape Matcha;Feminino;Conjunto;Poliamida com elastano;Bojo fixo;Sim;Classico;Mercado Envios;Garantia do vendedor: 30 dias;350;5;22;30;https://cdn.shopify.com/s/files/1/0986/2430/7486/files/1_79b30e4a-aeb6-41b7-8fed-2fdb2171fd34.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/3_1732dfaa-7367-4ad9-aa42-523be0187a90.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2_55ecdae7-11f5-444e-8209-e77864ad95a4.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2CE0018D-4C58-4BD1-AF17-2ACB97C88580.png;"O Conjunto Matcha foi desenvolvido para valorizar suas curvas com conforto, seguranca e muito estilo. Confeccionado em poliamida de alta qualidade, possui toque macio, excelente elasticidade e ZERO TRANSPARENCIA, proporcionando mais seguranca durante os treinos.

O top possui bojo, oferecendo melhor sustentacao e valorizando o busto. A legging conta com modelagem estrategica que valoriza e realca o bumbum, desenhando as curvas e proporcionando um efeito ainda mais bonito ao corpo.

Um conjunto perfeito para quem busca unir performance, conforto e uma modelagem que valoriza a silhueta.

COMO ESCOLHER O TAMANHO
Cada conjunto sai com a legging e o top no tamanho que voce escolher, e eles podem ser diferentes. Na opcao de tamanho, o primeiro valor e o da LEGGING e o segundo e o do TOP. Exemplo: M/G = legging M com top G. Se voce usa o mesmo tamanho nas duas pecas, escolha P/P, M/M ou G/G. A tabela de medidas esta nas fotos do anuncio."
#1;Conjunto Fitness Legging Cintura Alta + Top Matcha;Verde;P/M;P;M;CTS-MATCHA-LP-TM;189;13;13;Novo;Nao tenho codigo universal;Contt.s;Conjunto Shape Matcha;Feminino;Conjunto;Poliamida com elastano;Bojo fixo;Sim;Classico;Mercado Envios;Garantia do vendedor: 30 dias;350;5;22;30;https://cdn.shopify.com/s/files/1/0986/2430/7486/files/1_79b30e4a-aeb6-41b7-8fed-2fdb2171fd34.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/3_1732dfaa-7367-4ad9-aa42-523be0187a90.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2_55ecdae7-11f5-444e-8209-e77864ad95a4.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2CE0018D-4C58-4BD1-AF17-2ACB97C88580.png;"O Conjunto Matcha foi desenvolvido para valorizar suas curvas com conforto, seguranca e muito estilo. Confeccionado em poliamida de alta qualidade, possui toque macio, excelente elasticidade e ZERO TRANSPARENCIA, proporcionando mais seguranca durante os treinos.

O top possui bojo, oferecendo melhor sustentacao e valorizando o busto. A legging conta com modelagem estrategica que valoriza e realca o bumbum, desenhando as curvas e proporcionando um efeito ainda mais bonito ao corpo.

Um conjunto perfeito para quem busca unir performance, conforto e uma modelagem que valoriza a silhueta.

COMO ESCOLHER O TAMANHO
Cada conjunto sai com a legging e o top no tamanho que voce escolher, e eles podem ser diferentes. Na opcao de tamanho, o primeiro valor e o da LEGGING e o segundo e o do TOP. Exemplo: M/G = legging M com top G. Se voce usa o mesmo tamanho nas duas pecas, escolha P/P, M/M ou G/G. A tabela de medidas esta nas fotos do anuncio."
#1;Conjunto Fitness Legging Cintura Alta + Top Matcha;Verde;P/G;P;G;CTS-MATCHA-LP-TG;189;13;13;Novo;Nao tenho codigo universal;Contt.s;Conjunto Shape Matcha;Feminino;Conjunto;Poliamida com elastano;Bojo fixo;Sim;Classico;Mercado Envios;Garantia do vendedor: 30 dias;350;5;22;30;https://cdn.shopify.com/s/files/1/0986/2430/7486/files/1_79b30e4a-aeb6-41b7-8fed-2fdb2171fd34.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/3_1732dfaa-7367-4ad9-aa42-523be0187a90.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2_55ecdae7-11f5-444e-8209-e77864ad95a4.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2CE0018D-4C58-4BD1-AF17-2ACB97C88580.png;"O Conjunto Matcha foi desenvolvido para valorizar suas curvas com conforto, seguranca e muito estilo. Confeccionado em poliamida de alta qualidade, possui toque macio, excelente elasticidade e ZERO TRANSPARENCIA, proporcionando mais seguranca durante os treinos.

O top possui bojo, oferecendo melhor sustentacao e valorizando o busto. A legging conta com modelagem estrategica que valoriza e realca o bumbum, desenhando as curvas e proporcionando um efeito ainda mais bonito ao corpo.

Um conjunto perfeito para quem busca unir performance, conforto e uma modelagem que valoriza a silhueta.

COMO ESCOLHER O TAMANHO
Cada conjunto sai com a legging e o top no tamanho que voce escolher, e eles podem ser diferentes. Na opcao de tamanho, o primeiro valor e o da LEGGING e o segundo e o do TOP. Exemplo: M/G = legging M com top G. Se voce usa o mesmo tamanho nas duas pecas, escolha P/P, M/M ou G/G. A tabela de medidas esta nas fotos do anuncio."
#1;Conjunto Fitness Legging Cintura Alta + Top Matcha;Verde;M/M;M;M;CTS-MATCHA-LM-TM;189;13;13;Novo;Nao tenho codigo universal;Contt.s;Conjunto Shape Matcha;Feminino;Conjunto;Poliamida com elastano;Bojo fixo;Sim;Classico;Mercado Envios;Garantia do vendedor: 30 dias;350;5;22;30;https://cdn.shopify.com/s/files/1/0986/2430/7486/files/1_79b30e4a-aeb6-41b7-8fed-2fdb2171fd34.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/3_1732dfaa-7367-4ad9-aa42-523be0187a90.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2_55ecdae7-11f5-444e-8209-e77864ad95a4.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2CE0018D-4C58-4BD1-AF17-2ACB97C88580.png;"O Conjunto Matcha foi desenvolvido para valorizar suas curvas com conforto, seguranca e muito estilo. Confeccionado em poliamida de alta qualidade, possui toque macio, excelente elasticidade e ZERO TRANSPARENCIA, proporcionando mais seguranca durante os treinos.

O top possui bojo, oferecendo melhor sustentacao e valorizando o busto. A legging conta com modelagem estrategica que valoriza e realca o bumbum, desenhando as curvas e proporcionando um efeito ainda mais bonito ao corpo.

Um conjunto perfeito para quem busca unir performance, conforto e uma modelagem que valoriza a silhueta.

COMO ESCOLHER O TAMANHO
Cada conjunto sai com a legging e o top no tamanho que voce escolher, e eles podem ser diferentes. Na opcao de tamanho, o primeiro valor e o da LEGGING e o segundo e o do TOP. Exemplo: M/G = legging M com top G. Se voce usa o mesmo tamanho nas duas pecas, escolha P/P, M/M ou G/G. A tabela de medidas esta nas fotos do anuncio."
#1;Conjunto Fitness Legging Cintura Alta + Top Matcha;Verde;M/G;M;G;CTS-MATCHA-LM-TG;189;12;12;Novo;Nao tenho codigo universal;Contt.s;Conjunto Shape Matcha;Feminino;Conjunto;Poliamida com elastano;Bojo fixo;Sim;Classico;Mercado Envios;Garantia do vendedor: 30 dias;350;5;22;30;https://cdn.shopify.com/s/files/1/0986/2430/7486/files/1_79b30e4a-aeb6-41b7-8fed-2fdb2171fd34.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/3_1732dfaa-7367-4ad9-aa42-523be0187a90.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2_55ecdae7-11f5-444e-8209-e77864ad95a4.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2CE0018D-4C58-4BD1-AF17-2ACB97C88580.png;"O Conjunto Matcha foi desenvolvido para valorizar suas curvas com conforto, seguranca e muito estilo. Confeccionado em poliamida de alta qualidade, possui toque macio, excelente elasticidade e ZERO TRANSPARENCIA, proporcionando mais seguranca durante os treinos.

O top possui bojo, oferecendo melhor sustentacao e valorizando o busto. A legging conta com modelagem estrategica que valoriza e realca o bumbum, desenhando as curvas e proporcionando um efeito ainda mais bonito ao corpo.

Um conjunto perfeito para quem busca unir performance, conforto e uma modelagem que valoriza a silhueta.

COMO ESCOLHER O TAMANHO
Cada conjunto sai com a legging e o top no tamanho que voce escolher, e eles podem ser diferentes. Na opcao de tamanho, o primeiro valor e o da LEGGING e o segundo e o do TOP. Exemplo: M/G = legging M com top G. Se voce usa o mesmo tamanho nas duas pecas, escolha P/P, M/M ou G/G. A tabela de medidas esta nas fotos do anuncio."
#1;Conjunto Fitness Legging Cintura Alta + Top Matcha;Verde;G/M;G;M;CTS-MATCHA-LG-TM;189;13;13;Novo;Nao tenho codigo universal;Contt.s;Conjunto Shape Matcha;Feminino;Conjunto;Poliamida com elastano;Bojo fixo;Sim;Classico;Mercado Envios;Garantia do vendedor: 30 dias;350;5;22;30;https://cdn.shopify.com/s/files/1/0986/2430/7486/files/1_79b30e4a-aeb6-41b7-8fed-2fdb2171fd34.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/3_1732dfaa-7367-4ad9-aa42-523be0187a90.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2_55ecdae7-11f5-444e-8209-e77864ad95a4.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2CE0018D-4C58-4BD1-AF17-2ACB97C88580.png;"O Conjunto Matcha foi desenvolvido para valorizar suas curvas com conforto, seguranca e muito estilo. Confeccionado em poliamida de alta qualidade, possui toque macio, excelente elasticidade e ZERO TRANSPARENCIA, proporcionando mais seguranca durante os treinos.

O top possui bojo, oferecendo melhor sustentacao e valorizando o busto. A legging conta com modelagem estrategica que valoriza e realca o bumbum, desenhando as curvas e proporcionando um efeito ainda mais bonito ao corpo.

Um conjunto perfeito para quem busca unir performance, conforto e uma modelagem que valoriza a silhueta.

COMO ESCOLHER O TAMANHO
Cada conjunto sai com a legging e o top no tamanho que voce escolher, e eles podem ser diferentes. Na opcao de tamanho, o primeiro valor e o da LEGGING e o segundo e o do TOP. Exemplo: M/G = legging M com top G. Se voce usa o mesmo tamanho nas duas pecas, escolha P/P, M/M ou G/G. A tabela de medidas esta nas fotos do anuncio."
#1;Conjunto Fitness Legging Cintura Alta + Top Matcha;Verde;G/G;G;G;CTS-MATCHA-LG-TG;189;13;13;Novo;Nao tenho codigo universal;Contt.s;Conjunto Shape Matcha;Feminino;Conjunto;Poliamida com elastano;Bojo fixo;Sim;Classico;Mercado Envios;Garantia do vendedor: 30 dias;350;5;22;30;https://cdn.shopify.com/s/files/1/0986/2430/7486/files/1_79b30e4a-aeb6-41b7-8fed-2fdb2171fd34.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/3_1732dfaa-7367-4ad9-aa42-523be0187a90.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2_55ecdae7-11f5-444e-8209-e77864ad95a4.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2CE0018D-4C58-4BD1-AF17-2ACB97C88580.png;"O Conjunto Matcha foi desenvolvido para valorizar suas curvas com conforto, seguranca e muito estilo. Confeccionado em poliamida de alta qualidade, possui toque macio, excelente elasticidade e ZERO TRANSPARENCIA, proporcionando mais seguranca durante os treinos.

O top possui bojo, oferecendo melhor sustentacao e valorizando o busto. A legging conta com modelagem estrategica que valoriza e realca o bumbum, desenhando as curvas e proporcionando um efeito ainda mais bonito ao corpo.

Um conjunto perfeito para quem busca unir performance, conforto e uma modelagem que valoriza a silhueta.

COMO ESCOLHER O TAMANHO
Cada conjunto sai com a legging e o top no tamanho que voce escolher, e eles podem ser diferentes. Na opcao de tamanho, o primeiro valor e o da LEGGING e o segundo e o do TOP. Exemplo: M/G = legging M com top G. Se voce usa o mesmo tamanho nas duas pecas, escolha P/P, M/M ou G/G. A tabela de medidas esta nas fotos do anuncio."
#2;Conjunto Fitness Legging Cintura Alta + Top Off White;Branco;P/P;P;P;CTS-OFFWHITE-LP-TP;189;12;12;Novo;Nao tenho codigo universal;Contt.s;Conjunto Shape Off White;Feminino;Conjunto;Poliamida com elastano;Bojo fixo;Sim;Classico;Mercado Envios;Garantia do vendedor: 30 dias;350;5;22;30;https://cdn.shopify.com/s/files/1/0986/2430/7486/files/6_da2222ad-a81d-42cd-9b4e-ed2f00b32c3c.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/4_070ccd73-5eb7-4560-b6ba-d54a369ae2d0.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/5_aab050bd-6eac-458c-a8d1-400b3e1894bd.png, https://cdn.shopify.com/s/files/1/0986/2430/7486/files/2CF040B5-41D0-40B2-8023-04AE68142EC1.png;"O Conjunto Off White foi desenvolvido para valorizar suas curvas com conforto, seguranca e muito estilo. Confeccionado em poliamida de alta qualidade, possui toque macio, excelente elasticidade e ZERO TRANSPARENCIA, proporcionando mais seguranca durante os treinos.

O top possui bojo, oferecendo melhor sustentacao e valorizando o busto. A legging conta com modelagem estrategica que valoriza e realca o bumbum, desenhando as curvas e proporcionando um efeito ainda mais bonito ao corpo.

Um conjunto perfeito para quem busca unir performance, conforto e uma modelagem que valoriza a silhueta.

COMO ESCOLHER O TAMANHO
Cada conjunto sai com a legging e o top no tamanho que voce escolher, e eles podem ser diferentes. Na opcao de tamanho, o primeiro valor e o da LEGGING e o segundo e o do TOP. Exemplo: M/G = legging M com top G. Se voce usa o mesmo tamanho nas duas pecas, escolha P/P, M/M ou G/G. A tabela de medidas esta nas fotos do anuncio."
